Data,Intervalo,Vazao
8-1-2023,00:00:00 a 05:59:59,-1
 8-1-2023,06:00:00 a 11:59:59,-1
 8-1-2023,12:00:00 a 17:59:59,809450833.0
 8-1-2023,18:00:00 a 23:59:59,685304998.0
 9-1-2023,00:00:00 a 05:59:59,-1
 9-1-2023,06:00:00 a 11:59:59,383936793.0
 9-1-2023,12:00:00 a 17:59:59,691746609.0
 9-1-2023,18:00:00 a 23:59:59,733531524.0
 10-1-2023,00:00:00 a 05:59:59,821405541.0
 10-1-2023,06:00:00 a 11:59:59,807929060.0
 10-1-2023,12:00:00 a 17:59:59,802791423.0
 10-1-2023,18:00:00 a 23:59:59,784440151.0
 11-1-2023,00:00:00 a 05:59:59,-1
 11-1-2023,06:00:00 a 11:59:59,750304880.0
 11-1-2023,12:00:00 a 17:59:59,400585756.5
 11-1-2023,18:00:00 a 23:59:59,766300451.0
 12-1-2023,00:00:00 a 05:59:59,756862781.0
 12-1-2023,06:00:00 a 11:59:59,801268461.0
 12-1-2023,12:00:00 a 17:59:59,183710083.0
 12-1-2023,18:00:00 a 23:59:59,790208683.0
 13-1-2023,00:00:00 a 05:59:59,-1
 13-1-2023,06:00:00 a 11:59:59,-1
 13-1-2023,12:00:00 a 17:59:59,810758071.0
 13-1-2023,18:00:00 a 23:59:59,783420100.0
 14-1-2023,00:00:00 a 05:59:59,809644599.0
 14-1-2023,06:00:00 a 11:59:59,-1
 14-1-2023,12:00:00 a 17:59:59,782738281.0
 14-1-2023,18:00:00 a 23:59:59,797654475.0
 15-1-2023,00:00:00 a 05:59:59,786119078.0
 15-1-2023,06:00:00 a 11:59:59,790524845.0
 15-1-2023,12:00:00 a 17:59:59,644588314.5
 15-1-2023,18:00:00 a 23:59:59,784913507.5
 16-1-2023,00:00:00 a 05:59:59,804628173.0
 16-1-2023,06:00:00 a 11:59:59,816159537.0
 16-1-2023,12:00:00 a 17:59:59,760795503.0
 16-1-2023,18:00:00 a 23:59:59,732273406.5
 17-1-2023,00:00:00 a 05:59:59,798231154.0
 17-1-2023,06:00:00 a 11:59:59,733375301.0
 17-1-2023,12:00:00 a 17:59:59,667553872.0
 17-1-2023,18:00:00 a 23:59:59,766458799.0
 18-1-2023,00:00:00 a 05:59:59,771015735.0
 18-1-2023,06:00:00 a 11:59:59,722573620.0
 18-1-2023,12:00:00 a 17:59:59,776681291.0
 18-1-2023,18:00:00 a 23:59:59,598136560.5
 19-1-2023,00:00:00 a 05:59:59,782971386.0
 19-1-2023,06:00:00 a 11:59:59,174226434.0
 19-1-2023,12:00:00 a 17:59:59,785592499.0
 19-1-2023,18:00:00 a 23:59:59,600992494.5
 20-1-2023,00:00:00 a 05:59:59,-1
 20-1-2023,06:00:00 a 11:59:59,124518655.0
 20-1-2023,12:00:00 a 17:59:59,589773104.0
 20-1-2023,18:00:00 a 23:59:59,694210608.0
 21-1-2023,00:00:00 a 05:59:59,762131656.5
 21-1-2023,06:00:00 a 11:59:59,635035749.0
 21-1-2023,12:00:00 a 17:59:59,806726970.0
 21-1-2023,18:00:00 a 23:59:59,790601373.0
 22-1-2023,00:00:00 a 05:59:59,797916779.0
 22-1-2023,06:00:00 a 11:59:59,787900224.5
