Data,Intervalo,Vazao
8-1-2023,00:00:00 a 05:59:59,-1
 8-1-2023,06:00:00 a 11:59:59,473326946.0
 8-1-2023,12:00:00 a 17:59:59,602670231.0
 8-1-2023,18:00:00 a 23:59:59,528403093.5
 9-1-2023,00:00:00 a 05:59:59,768503041.0
 9-1-2023,06:00:00 a 11:59:59,618818147.0
 9-1-2023,12:00:00 a 17:59:59,768868774.0
 9-1-2023,18:00:00 a 23:59:59,661784378.5
 10-1-2023,00:00:00 a 05:59:59,-1
 10-1-2023,06:00:00 a 11:59:59,-1
 10-1-2023,12:00:00 a 17:59:59,744504234.0
 10-1-2023,18:00:00 a 23:59:59,-1
 11-1-2023,00:00:00 a 05:59:59,739641113.0
 11-1-2023,06:00:00 a 11:59:59,-1
 11-1-2023,12:00:00 a 17:59:59,481653263.0
 11-1-2023,18:00:00 a 23:59:59,448108303.0
 12-1-2023,00:00:00 a 05:59:59,402234537.0
 12-1-2023,06:00:00 a 11:59:59,-1
 12-1-2023,12:00:00 a 17:59:59,360868603.0
 12-1-2023,18:00:00 a 23:59:59,566785634.0
 13-1-2023,00:00:00 a 05:59:59,-1
 13-1-2023,06:00:00 a 11:59:59,667523514.0
 13-1-2023,12:00:00 a 17:59:59,881748881.0
 13-1-2023,18:00:00 a 23:59:59,704779224.0
 14-1-2023,00:00:00 a 05:59:59,-1
 14-1-2023,06:00:00 a 11:59:59,485653049.0
 14-1-2023,12:00:00 a 17:59:59,375023937.0
 14-1-2023,18:00:00 a 23:59:59,636486233.0
 15-1-2023,00:00:00 a 05:59:59,-1
 15-1-2023,06:00:00 a 11:59:59,697674576.0
 15-1-2023,12:00:00 a 17:59:59,758120372.0
 15-1-2023,18:00:00 a 23:59:59,648598338.0
 16-1-2023,00:00:00 a 05:59:59,670827971.0
 16-1-2023,06:00:00 a 11:59:59,868851811.0
 16-1-2023,12:00:00 a 17:59:59,905289628.0
 16-1-2023,18:00:00 a 23:59:59,621334671.0
 17-1-2023,00:00:00 a 05:59:59,859414307.0
 17-1-2023,06:00:00 a 11:59:59,-1
 17-1-2023,12:00:00 a 17:59:59,821304635.5
